"Name","Start Year","End Year","Era Label","is_circa","is_active","Score"
"Aesthetic Realism","1902","1978.0","1902–1978","False","False","6"
"Casa Trinxet","1902","1904.0","1902–1904","False","False","0"
"Bala Bodhisattva","1904","1905.0","1904–1905","False","False","0"
"C. Sivaramamurti","1909","1983.0","1909–1983","False","False","0"
"Classical Hollywood cinema","1910","","1910s","False","False","12"
"Bézier curve","1910","1999.0","1910–1999","False","False","0"
"Bopomofo","1910","","1910s","False","False","3"
"Australian tonalism","1910","","1910s","False","False","13"
"Arion Press","1910","","1910s","False","False","3"
"Art Deco","1910","","1910s","False","False","19"
"Anglo-Japanese style","1910","","1910s","False","False","9"
"Archie Creek Camp","1910","","1910s","False","False","3"
"Ananda Samarakoon","1911","2.0","1911–2","False","False","0"
"Amdo Jampa","1911","28.0","1911–28","False","False","0"
"B'nai Israel Traditional Synagogue","1913","","c. 1913","True","False","0"
"British Constructivists","1913","2005.0","1913–2005","False","False","0"
"Basilica of Saint-Quentin","1914","18.0","1914–18","False","False","0"
"Counter-Maniera","1914","1997.0","1914–1997","False","False","3"
"Bachiru","1915","2004.0","1915–2004","False","False","0"
"Avant-garde","1915","1920.0","1915–1920","False","False","3"
"Constructivism (art)","1915","","c. 1915","True","False","4"
"Black Square","1915","1919.0","1915–1919","False","False","10"
